Month,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb
1,,3.0,1.0,11.0,0.0,0.0,2.0,3.5,0.0,-109.0,3.0,3.9,-0.26,,,,,,,,,,,62.5,48.7,,,,34.8,,,0.24,,
2,,2.0,0.0,9.0,0.0,0.0,1.0,1.5,4.0,-56.0,1.3,1.9,-0.51,,,,,,,,,,,65.5,50.8,,,,36.2,,,0.1,,
3,,1.0,1.0,1.0,0.0,0.0,0.0,2.4,0.0,-76.0,2.1,2.8,-0.4,,,,,,,,,,,74.0,58.8,,,,43.6,,,0.2,,
4,,1.0,0.0,0.0,4.0,0.0,0.0,-0.3,-11.0,-2.0,0.5,-1.2,-0.66,,,,,,,,,,,80.7,64.8,,,,48.8,,,0.02,,
5,,3.0,1.0,0.0,17.0,0.0,0.0,0.8,14.0,-10.0,1.0,0.6,-1.3,,,,,,,,,,,89.7,75.4,,,,61.2,,,0.26,,
6,,2.0,1.0,0.0,26.0,0.0,0.0,4.6,141.0,0.0,7.7,1.6,-1.23,,,,,,,,,,,101.9,85.7,,,,69.5,,,0.4,,
7,,1.0,1.0,0.0,31.0,0.0,0.0,5.8,180.0,0.0,7.0,4.6,-0.9,,,,,,,,,,,101.9,88.4,,,,74.9,,,0.94,,
8,,2.0,0.0,0.0,30.0,0.0,0.0,6.4,200.0,0.0,8.0,4.9,-1.6,,,,,,,,,,,101.5,87.7,,,,74.0,,,0.09,,
9,,4.0,2.0,0.0,26.0,0.0,0.0,6.9,207.0,-2.0,8.4,5.5,-0.99,,,,,,,,,,,96.4,82.5,,,,68.6,,,0.91,,
10,,4.0,4.0,1.0,7.0,0.0,0.0,3.1,96.0,-2.0,2.5,3.8,-0.47,,,,,,,,,,,81.7,68.8,,,,56.0,,,1.14,,
11,,5.0,2.0,3.0,1.0,0.0,0.0,1.9,14.0,-43.0,-0.4,4.2,-0.08,,,,,,,,,,,67.9,56.1,,,,44.3,,,0.56,,
12,,4.0,2.0,10.0,0.0,0.0,0.0,4.3,0.0,-137.0,3.6,5.2,0.0,,,,,,,,,,,63.8,50.0,,,,36.3,,,0.61,,
